row_id,product_name,supplier_sku,barcode,supplier_notes,unit_price
96,ABSOLUTE FLAT MONO SHOOTING LINE 25LB 30M YELLOW--,SA-129565,0840309129565,,29.99
97,SALTY CREW TRUCK STOP CLASSIC TEE SLATE S,SC-25035077-SL-S,,,42.95
98,SALTY CREW FISHING CO TRUCKER MIDNIGHT NAVY,SC-35035812-MN,,,39.95
99,CAPTAIN PHAB STRIP IT MARINE 1L,CAP-591,0079854005912,,34.99
100,MUSTAD TREBLE 3X 9/0 HOOK,MUD-3551-BR-9/0,0023534068292,25 PK BRONZE,59.99
101,BNR TACKLE SOFT BEAD 16MM,BNR-SBPC16,0816324009694,PINK CADDY,9.99
102,SALTY CREW ARCHWAY CLASSIC TEE BLACK 3XL,SC-25035076-BK-3XL,,,39.95
103,Gamakatsu 225915-25 Big River Bait,GAM-225915-25,0089726104995,"Hook, Size 5/0, Barbed, Needle",26.99
104,"ATTWOOD GAS SPRING BALL MOUNT 12.04"" - 8.46""",ATT-SL35-40#-5,0715584035408,,39.99
105,"Penn FTHII25NSD Fathom II Star Drag Reel, 7 Brg, 6.1:1, Rnd,345/20# 315/25# Mono; 710/30#, 495/50# Braid",PENN-FTHII25NSD,0031324046344,,389.99
106,CHIC PINK STAIN REMOVING TREATMENT 60g,CHIC-101027,0628176295220,,99.99
107,"HANAK ""DRY UP TURNED 25PK""",HAN-HH130BLR-16,0910000087287,SIZE 16,9.95
108,"HANAK ""DRY UP TURNED 25PK""",HAN-HH130BLR-14,0910000087270,SIZE 14,9.95
109,SALTY CREW TRUCK STOP CLASSIC TEE SLATE 3XL,SC-25035077-SL-3XL,,,42.95
110,MARUTO 8845 SSC+CP HOOK,MARU-8845-1,4548998042986,SIZE 1,6.99
111,ATTWOOD Stowaway Light Base,ATT-911339-7,0022697913395,,41.19
112,SA AMPLITUDE SMOOTH TROUT GP WF-7-F BUTTER/SAGE/WILLOW--,SA-147246,,,119.99
113,SALTY CREW TAILED TANK BLACK XL,SC-20635013-BK-XL,0804046051374,,39.95
